korean,meaning_zh,part_of_speech,example_ko,example_zh,tags
멍하다,发呆、愣住,形容词,너무 예뻐서 멍해졌어요.,太漂亮了我愣住了。,追星|感受
황홀하다,心醉神迷,形容词,무대가 너무 황홀했어요.,舞台太让人心醉了。,追星|感受
두근두근,怦怦直跳（心跳声）,副词,두근두근해요.,心怦怦跳。,追星|感受
흑역사,黑历史,名词,흑역사 발굴됐어요.,黑历史被挖出来了。,追星|饭圈用语
본진,最爱（粉丝的本命团）,名词,제 본진이에요.,这是我的本命团。,追星|饭圈用语
부캐,副角色（次要喜好、副本命）,名词,부캐로 빠졌어요.,又爱上了一个副本命。,追星|饭圈用语
입덕 계기,入坑原因/契机,名词,입덕 계기가 뭐예요?,入坑原因是什么？,追星|饭圈用语
덕력,追星实力/资历,名词,덕력 몇 년이에요?,追了几年了？,追星|饭圈用语
중증,重症（深度粉丝）,名词,이미 중증이에요.,已经是重度粉丝了。,追星|饭圈用语
입덕 폭발,入坑爆炸（突然深陷）,名词,이 영상 보고 입덕 폭발했어요.,看了这个视频直接入坑爆炸。,追星|饭圈用语
손하트,手指心,名词,손하트 해 줬어요.,做了手指心。,追星|互动
볼하트,脸颊爱心（用脸做爱心）,名词,볼하트가 너무 귀여워요.,脸颊爱心太可爱了。,追星|互动
윙크,眨眼、wink,名词,윙크해 줬어요.,对我眨了眨眼。,追星|互动
손인사,挥手打招呼,名词,손인사 받았어요.,收到了挥手打招呼。,追星|互动|线下活动
고개 끄덕,点头,名词,고개 끄덕여 줬어요.,朝我点了头。,追星|互动
눈 맞춤,对视、眼神交流,名词,눈 맞춤 했어요.,和我对视了。,追星|互动|线下活动
포인트 댄스,点睛舞步（副歌代表动作）,名词,포인트 댄스 배웠어요.,学了副歌的点睛舞步。,追星|舞台|音乐
칼춤,整齐划一的舞蹈（切齐）,名词,칼춤이 정말 대단해요.,舞蹈整齐得令人叹为观止。,追星|舞台
표정 연기,表情演技,名词,표정 연기가 완벽해요.,表情演技太完美了。,追星|舞台
몸풀기,热身,名词,공연 전에 몸풀기 해요.,演出前做热身。,追星|舞台
완성도,完成度,名词,완성도가 너무 높아요.,完成度太高了。,追星|舞台
시선처리,眼神处理（表演时的视线),名词,시선처리가 치명적이에요.,眼神处理太致命了。,追星|舞台|感受
에너지,活力、气场,名词,무대 에너지가 넘쳐요.,舞台气场溢出来了。,追星|舞台
존재감,存在感,名词,존재감이 엄청나요.,存在感太强了。,追星|舞台
분위기 메이커,气氛担当,名词,그는 분위기 메이커예요.,他是气氛担当。,追星|饭圈用语
막내 온 탑,老幺在顶（最小成员最强）,名词,막내 온 탑이에요.,老幺在顶！,追星|饭圈用语
정규 앨범,正规专辑,名词,정규 앨범이 드디어 나왔어요.,正规专辑终于出了。,追星|音乐
미니 앨범,迷你专辑,名词,미니 앨범 구매했어요.,买了迷你专辑。,追星|音乐|周边
싱글,单曲,名词,새 싱글 나왔어요!,新单曲出了！,追星|音乐
디지털 싱글,数字单曲,名词,디지털 싱글로 공개됐어요.,以数字单曲形式公开了。,追星|音乐
자작곡,自作曲（自己创作的歌）,名词,이 곡은 자작곡이에요.,这首歌是自作曲。,追星|音乐
작사,作词,名词,직접 작사했어요.,亲自作词了。,追星|音乐
작곡,作曲,名词,직접 작곡했어요.,亲自作曲了。,追星|音乐
프로듀싱,制作、编曲,名词,앨범 프로듀싱에 참여했어요.,参与了专辑制作。,追星|音乐
피처링,特邀合作（featuring）,名词,피처링으로 참여했어요.,以特邀合作形式参与了。,追星|音乐
OST,原声带（影视插曲）,名词,드라마 OST 불렀어요.,唱了电视剧原声带。,追星|音乐
커버곡,翻唱曲,名词,커버곡 올렸어요.,发了翻唱曲。,追星|音乐
음원 총공,集中刷音源,名词,음원 총공 시작해요!,开始集中刷音源！,追星|饭圈用语|音乐
총공,总攻（集中打榜/刷数据）,名词,차트 총공 들어갑니다.,开始集中打榜了。,追星|饭圈用语
음원 사재기,刷音源（买榜）,名词,음원 사재기 의혹이 있어요.,有刷音源嫌疑。,追星|饭圈用语|音乐
1위,第一名,名词,드디어 1위 했어요!,终于拿到第一名了！,追星|音乐
올킬,全杀（包揽所有榜单第一）,名词,음원차트 올킬했어요!,音源榜单全杀了！,追星|饭圈用语|音乐
역주행,逆行（旧歌突然翻红）,名词,역주행하고 있어요.,旧歌在逆行。,追星|音乐|饭圈用语
재생 수,播放量,名词,재생 수 1억 넘었어요!,播放量超1亿了！,追星|数字生活|音乐
뮤비 조회수,MV观看量,名词,뮤비 조회수 5천만 넘었어요.,MV观看量超5千万了。,追星|数字生活|音乐
위버스 게시물,Weverse帖子,名词,위버스 게시물 올라왔어요!,Weverse发帖了！,追星|数字生活|社交媒体
버블 구독,订阅Bubble私信,名词,버블 구독하고 있어요.,我订阅了Bubble。,追星|数字生活|社交媒体
버블 메시지,Bubble消息,名词,버블 메시지 왔어요!,Bubble来消息了！,追星|数字生活|社交媒体
위버스 댓글,Weverse评论,名词,위버스 댓글 달았어요.,在Weverse评论了。,追星|数字生活|社交媒体
인스타 스토리,Instagram Stories,名词,인스타 스토리 올렸어요.,发了Instagram Stories。,追星|数字生活|社交媒体
인스타 라이브,Instagram直播,名词,인스타 라이브 켰어요!,开了Instagram直播！,追星|数字生活|社交媒体
유튜브 쇼츠,YouTube Shorts,名词,유튜브 쇼츠 올라왔어요.,YouTube Shorts更新了。,追星|数字生活|社交媒体
틱톡,TikTok,名词,틱톡에 올렸어요.,发到TikTok了。,追星|数字生活|社交媒体
엑스,X（原推特）,名词,엑스에서 트렌드 됐어요.,在X上成了热搜。,追星|数字生活|社交媒体
포스팅,发帖,名词,포스팅 올렸어요.,发帖了。,追星|数字生活|社交媒体
스압,长文预警（스크롤 압박）,名词,스압 주의예요.,长文预警。,追星|饭圈用语|社交媒体
캡처본,截图合集,名词,캡처본 공유할게요.,分享截图合集。,追星|数字生活|社交媒体
움짤 저장,保存动图,短语,움짤 저장 완료했어요.,动图保存完成。,追星|数字生活
짤 제조기,表情包制造机,名词,짤 제조기예요.,是个表情包制造机。,追星|饭圈用语
최애 사진,最爱（本命）的照片,名词,최애 사진 배경화면 해놨어요.,把本命的照片设成壁纸了。,追星|饭圈用语
배경화면,壁纸、桌面背景,名词,배경화면 바꿨어요.,换壁纸了。,追星|日常
잠금화면,锁屏壁纸,名词,잠금화면도 오빠예요.,锁屏也是哥哥。,追星|日常
덕질 계정,追星专用账号,名词,덕질 계정 따로 있어요.,有专门的追星账号。,追星|饭圈用语
덕계정,追星号（덕질 계정缩写）,名词,덕계정 팔로해요.,关注追星号。,追星|饭圈用语
본계,主号,名词,본계에는 안 올려요.,不发到主号。,追星|饭圈用语
디데이,D-Day、倒计时,名词,컴백 디데이예요!,回归D-Day！,追星|饭圈用语
카운트다운,倒计时,名词,컴백 카운트다운 시작이에요.,开始回归倒计时了。,追星|饭圈用语
최애 생일,本命生日,名词,최애 생일 축하해요!,本命生日快乐！,追星|应援
셀카 저장,保存偶像自拍,短语,셀카 저장 완료!,偶像自拍保存完成！,追星|日常
무직 타임,无业（休团/休息）期,名词,무직 타임이지만 기다려요.,虽然在休息期但我等着。,追星|饭圈用语
컴백 예고,回归预告,名词,컴백 예고 떴어요!,回归预告出来了！,追星|音乐
활동 중,活动中（正在做宣传期）,名词,현재 활동 중이에요.,目前在活动中。,追星|日常
잠수,潜水（偶像长时间不更新）,名词,또 잠수 탔어요.,又潜水了。,追星|饭圈用语
컴백 날짜,回归日期,名词,컴백 날짜 발표됐어요.,回归日期公布了。,追星|音乐
월드 투어,世界巡回演唱会,名词,월드 투어 일정 떴어요!,世界巡演日程公布了！,追星|演唱会|线下活动
해외 팬,海外粉丝,名词,해외 팬도 많아요.,海外粉丝也很多。,追星|粉丝
원정,（海外/远程）追星远征,名词,콘서트 원정 갔어요.,去远征演唱会了。,追星|线下活动|出行
원정 팬,远征粉（从外地专程来的粉丝）,名词,원정 팬이에요.,我是远征粉。,追星|粉丝|出行
입국장,入境大厅（追机场时等候处）,名词,입국장에서 기다렸어요.,在入境大厅等候了。,追星|线下活动|出行
출국장,出境大厅（机场送偶像的地方）,名词,출국장까지 배웅했어요.,在出境大厅送行了。,追星|线下活动|出行
공항 스케줄,机场日程,名词,공항 스케줄 확인했어요.,确认了机场日程。,追星|线下活动|出行
출퇴근 길,偶像上下班路（去公司的路）,名词,출퇴근 길 응원했어요.,在偶像上下班路上应援了。,追星|线下活动
한국 방문,访问韩国,名词,한국 방문 계획 중이에요.,正在计划访问韩国。,追星|出行
성지,圣地（偶像相关的地点）,名词,성지 순례 갔어요.,去圣地巡礼了。,追星|出行
성지 순례,圣地巡礼,名词,성지 순례 코스 정했어요.,定好了圣地巡礼路线。,追星|出行
소속사,经纪公司,名词,소속사 앞에서 기다렸어요.,在经纪公司门口等候了。,追星|线下活动
한정판,限定版,名词,한정판 굿즈 샀어요.,买了限定版周边。,追星|周边
오프라인 굿즈,现场限定周边,名词,오프라인 굿즈만 판매해요.,只在现场销售的周边。,追星|周边|线下活动
공식 굿즈,官方周边,名词,공식 굿즈 다 모았어요.,把官方周边都集齐了。,追星|周边
비공식 굿즈,非官方周边（粉丝自制）,名词,비공식 굿즈 예쁘게 만들었어요.,非官方周边做得很漂亮。,追星|周边|饭圈用语
키링,钥匙扣,名词,키링 달았어요.,挂上钥匙扣了。,追星|周边
아크릴 스탠드,亚克力立牌,名词,아크릴 스탠드 세워 놨어요.,立好了亚克力立牌。,追星|周边
포스터,海报,名词,포스터 붙여 놨어요.,贴上海报了。,追星|周边
엽서,明信片,名词,엽서 교환해요.,交换明信片吧。,追星|周边
스티커,贴纸,名词,스티커 붙였어요.,贴上贴纸了。,追星|周边
북클릿,专辑内页小册子,名词,북클릿 정독했어요.,仔细看了专辑小册子。,追星|周边|音乐
랜덤 포카,随机小卡,名词,랜덤 포카 최애 나왔어요!,随机小卡抽到本命了！,追星|周边|饭圈用语
포카 수집,收集小卡,名词,포카 수집이 취미예요.,收集小卡是我的爱好。,追星|周边|饭圈用语
앨범 개봉,开专辑,名词,앨범 개봉 영상 올렸어요.,发了开专辑视频。,追星|周边|음악
언박싱,开箱,名词,언박싱 영상 봤어요?,看开箱视频了吗？,追星|周边|数字生活
덕질 비용,追星费用,名词,덕질 비용이 많이 들어요.,追星花费了很多钱。,追星|饭圈用语
최애 지갑,为本命豪掷,名词,최애 지갑 열었어요.,为本命打开钱包了。,追星|饭圈用语
알림 설정했어요,设置了提醒/通知,短语,유튜브 알림 설정했어요.,设置了YouTube通知。,追星|数字生活
떴다 떴다,出来了出来了！（更新了）,感叹词,떴다 떴다! 새 영상이에요!,出来了出来了！新视频！,追星|饭圈用语
아무튼 귀엽다,反正就是可爱,短语,아무튼 귀엽다.,反正就是可爱。,追星|饭圈用语|感受
어떻게 이래요,怎么可以这样（被迷到）,短语,"어떻게 이래요, 너무 귀여워요.",怎么可以这样，太可爱了。,追星|感受
믿음의 구매,无脑买（靠信任直接下单）,名词,믿음의 구매했어요.,无脑买了。,追星|饭圈用语
즉구,即刻购买、秒杀,名词,즉구했어요.,秒了。,追星|饭圈用语|周边
1빠,第一个（评论/购买）,名词,1빠로 달았어요.,第一个留言了。,追星|饭圈用语
최애가 최고야,本命最棒了,短语,"최애가 최고야, 역시.",本命最棒了，果然。,追星|感受
실존이에요,真实存在的（太完美了不像真实的人）,短语,실존이에요? 너무 완벽해요.,真实存在的吗？太完美了。,追星|饭圈用语|感受
제가 왜 이래요,我怎么了（被迷到质疑自己）,短语,"제가 왜 이래요, 또 봤어요.",我怎么了，又看了一遍。,追星|饭圈用语
눈이 호강이에요,眼睛在享福（视觉盛宴）,短语,눈이 호강이에요.,眼睛在享福。,追星|感受
치명타,致命一击（被电到）,名词,치명타 맞았어요.,中了致命一击。,追星|饭圈用语|感受
직접 봤어요,我亲眼看到了（现场见到偶像）,短语,"직접 봤어요, 너무 예뻐요.",亲眼看到了，太漂亮了。,追星|线下活动|感受
연습생,练习生,名词,연습생 시절이 힘들었어요.,练习生时期很辛苦。,追星|饭圈用语
데뷔 전,出道前,名词,데뷔 전 영상이에요.,这是出道前的视频。,追星|饭圈用语
성장,成长,名词,성장 모습이 감동이에요.,成长的样子很感动。,追星|感受
실력파,实力派,名词,실력파 아이돌이에요.,是实力派偶像。,追星|饭圈用语
다재다능,多才多艺,形容词,다재다능한 아이돌이에요.,是多才多艺的偶像。,追星|饭圈用语
솔로,个人出道,名词,솔로 데뷔했어요.,以个人名义出道了。,追星|音乐
유닛,小分队（团队内的子单元）,名词,유닛 활동 시작했어요.,小分队开始活动了。,追星|音乐|饭圈用语
재계약,续约,名词,재계약 했어요!,续约了！,追星|饭圈用语
군입대,入伍,名词,군입대 소식이 떴어요.,入伍消息出来了。,追星|饭圈用语
전역,退伍,名词,전역하고 돌아왔어요!,退伍回来了！,追星|饭圈用语
복귀,回归（休息后重新出道/活动）,名词,드디어 복귀했어요!,终于回归了！,追星|饭圈用语
공식 발표,官方宣布,名词,공식 발표 났어요.,官方宣布了。,追星|饭圈用语
입장 음악,入场音乐,名词,입장 음악이 흘렀어요.,入场音乐响起来了。,追星|演唱会|舞台
무대 세트,舞台布景,名词,무대 세트가 화려해요.,舞台布景很华丽。,追星|舞台|演唱会
조명,灯光,名词,조명이 너무 예뻐요.,灯光太漂亮了。,追星|舞台|演唱会
특수효과,特效,名词,특수효과가 대박이에요.,特效太厉害了。,追星|舞台|演唱会
불꽃놀이,烟花表演,名词,불꽃놀이 터졌어요!,烟花表演开始了！,追星|演唱会
화면,大屏幕,名词,화면으로 얼굴 봤어요.,通过大屏幕看到了脸。,追星|演唱会
리프팅,升降台（舞台升降装置）,名词,리프팅 타고 등장했어요.,乘升降台登场了。,追星|舞台|演唱会
무대 앞,舞台前方,名词,무대 앞에서 봤어요.,在舞台前方看的。,追星|演唱会|线下活动
센터,中心位（舞台中间）,名词,센터에 서 있었어요.,站在中心位。,追星|舞台|饭圈用语
사이드,侧舞台,名词,사이드 무대도 있었어요.,也有侧舞台。,追星|演唱会
잘 도착했어요,安全到达了,短语,숙소에 잘 도착했어요?,安全到达酒店了吗？,追星|互动|问候
잘 쉬었어요?,休息得好吗？,短语,잘 쉬었어요? 피곤하지 않아요?,休息得好吗？不累吗？,追星|互动|问候
얼마나 기다렸는지,等了多久了（期待已久）,短语,얼마나 기다렸는지 몰라요.,不知道等了多久了。,追星|感受
이런 모습도 좋아요,这样的样子也喜欢,短语,"이런 모습도 좋아요, 다 좋아요.",这样的样子也喜欢，什么都喜欢。,追星|感受
그냥 다 좋아요,就是什么都喜欢,短语,"그냥 다 좋아요, 이유 없이.",就是什么都喜欢，没有理由。,追星|感受
목숨 바쳐 사랑해요,用生命爱你（夸张表达极度喜爱）,短语,목숨 바쳐 사랑해요.,用生命爱你。,追星|感受|互动
팬으로 태어나서 다행이에요,庆幸成为你的粉丝,短语,팬으로 태어나서 다행이에요.,庆幸成为你的粉丝。,追星|感受|粉丝
콘서트 준비물,演唱会必备物品,名词,콘서트 준비물 체크했어요?,演唱会必备物品检查了吗？,追星|演唱会|线下活动
야광봉,荧光棒,名词,야광봉 흔들었어요.,挥动了荧光棒。,追星|演唱会|应援
잘 먹고 있어요?,吃得好吗？,短语,잘 먹고 있어요? 걱정돼요.,吃得好吗？好担心。,追星|互动|问候
보고 싶어 죽겠어요,想死你了（极度想念）,短语,보고 싶어 죽겠어요.,想你想得快要死了。,追星|感受|互动
항상 곁에 있을게요,我会一直在你身边,短语,항상 곁에 있을게요.,我会一直在你身边。,追星|互动|粉丝
언제나 응원해요,永远支持你,短语,"언제나 응원해요, 힘내세요!",永远支持你，加油！,追星|应援|互动
행복하게 해줄게요,我会让你幸福的,短语,우리가 행복하게 해줄게요.,我们会让你幸福的。,追星|互动|粉丝
기다리고 있을게요,我会等你的,短语,복귀 기다리고 있을게요.,等你回归。,追星|互动|粉丝
앞으로도 잘 부탁해요,以后也请多关照,短语,앞으로도 잘 부탁해요!,以后也请多关照！,追星|互动
같이 걸어가요,一起走下去,短语,앞으로도 같이 걸어가요.,以后也一起走下去。,追星|互动|粉丝
덕후,宅、铁粉（深度爱好者）,名词,완전 덕후예요.,完完全全是铁粉。,追星|饭圈用语
